scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.02643310000166821,0.6607423000023118,0.4042,0.396,0.0078,0.0,0.0,,1,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05474249999861058,0.6813150999987556,0.4667,0.4592,0.0073,0.0,0.0,,1,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.04962750000049709,0.6842099000004964,0.389,0.3816,0.0072,0.0,0.0,,1,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.008866699999998673,0.6480086000010488,0.4262,0.4176,0.0084,0.0,0.0,,1,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.05437849999907485,0.6839431999978842,0.4072,0.3956,0.0113,0.0,0.0,,1,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.05173759999888716,0.684411899999759,0.3843,0.375,0.009,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.05552530000022671,0.6820372000001953,0.3772,0.3668,0.0102,0.0,0.0,,1,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.009470699998928467,0.6420726999986073,0.3676,0.3583,0.0091,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05123509999975795,0.6821904000007635,0.4044,0.3938,0.0105,0.0,0.0,,1,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.05564000000049418,0.6895279000000301,0.4305,0.4168,0.0134,0.0,0.0,,1,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.013896999998905812,0.6534697999995842,0.3962,0.3812,0.0148,0.0,0.0,,1,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.056038499998976476,0.6792048999977851,0.401,0.3865,0.0143,0.0,0.0,,1,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.07222120000005816,0.7141498000000865,0.4568,0.4418,0.0147,0.0,0.0,,2,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05669840000155091,0.6884304000031989,0.3843,0.3767,0.0071,0.0,0.0,,2,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05637229999956617,0.6998772999995708,0.4434,0.4363,0.0068,0.0,0.0,,2,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.052235099999961676,0.6847037000006821,0.4303,0.423,0.0069,0.0,0.0,,2,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.054729699999370496,0.6879454999998416,0.3839,0.3747,0.0089,0.0,0.0,,2,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.0544889000011608,0.6770577000006597,0.4277,0.4179,0.0096,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.05574169999999867,0.6806863999991037,0.3946,0.3808,0.0134,0.0,0.0,,2,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.010623000000123284,0.6437995999986015,0.4102,0.4012,0.0088,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.0076135999988764524,0.6368685999987065,0.5347,0.5184,0.0161,0.0,0.0,,2,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.01369449999947392,0.9675540999996883,0.6453,0.6238,0.0209,0.0,0.0,,2,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05873720000090543,1.0087626000004093,0.7395,0.7123,0.0267,0.0,0.0,,2,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05217070000071544,0.9987596000009944,0.7137,0.6939,0.0194,0.0,0.0,,2,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.012453999999706866,0.9775996999997005,0.6572,0.6481,0.0089,0.0,0.0001,,3,full
