concurrency,avg_latency,median_latency,p95_latency,throughput_jobs_sec,success_rate_pct,total_jobs,errors,avg_cpu_pct,avg_mem_delta_mb
1,0.6886,0.6886,0.6886,7.26,100.0,5,0,36.1,-2.5
1,0.6885,0.6885,0.6886,3.63,100.0,5,0,25.2,-7.9
1,0.6925,0.6886,0.6993,2.41,100.0,5,0,22.2,-2.8
1,0.691,0.6885,0.6987,1.81,100.0,5,0,23.2,-3.4
1,0.691,0.6886,0.6987,1.45,100.0,5,0,21.7,-1.5
5,1.357,1.3044,2.1201,11.13,100.0,25,0,44.7,0.8
5,1.3854,1.3032,2.2409,5.58,100.0,25,0,43.2,-0.3
5,1.4136,1.3044,2.2378,3.73,100.0,25,0,44.6,-3.0
5,1.4152,1.3082,2.2436,2.79,100.0,25,0,43.5,-2.4
5,1.4148,1.3079,2.2422,2.23,100.0,25,0,39.6,1.0
10,2.552,2.5467,4.3054,11.25,100.0,50,0,35.6,-1.6
10,2.5203,2.4244,4.4437,5.62,100.0,50,0,33.6,-2.2
10,2.5312,2.4244,4.4404,3.75,100.0,50,0,35.0,1.1
10,2.5822,2.5682,4.4437,2.77,100.0,50,0,33.3,1.5
10,2.5716,2.5682,4.4446,2.22,100.0,50,0,31.9,-1.4
25,5.9904,6.1322,10.7205,10.94,100.0,125,0,48.0,45.0
25,6.1178,6.1416,11.025,5.45,100.0,125,0,38.5,4.0
25,6.1249,6.1346,11.1281,3.64,100.0,125,0,34.9,4.3
25,6.2553,6.1428,11.4139,2.68,100.0,125,0,34.3,-315.8
25,6.2881,6.151,11.4268,2.14,100.0,125,0,33.2,-247.5
50,12.9472,12.548,25.8571,9.13,100.0,250,0,37.6,176.3
50,14.7047,14.4918,27.9732,4.36,100.0,250,0,36.5,0.2
50,13.7957,13.37,27.2123,3.11,100.0,250,0,43.6,3.7
50,13.3411,13.1634,26.4541,2.42,100.0,250,0,39.8,21.4
50,13.0575,12.8535,25.8505,1.98,100.0,250,0,37.6,11.4
