scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.03624169999966398,0.6763327000007848,0.4397,0.4312,0.0083,0.0,0.0,,1,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.053503200000704965,0.6868366000016977,0.4487,0.4389,0.0095,0.0,0.0,,1,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.055501499999081716,0.6824647999983426,0.4422,0.4327,0.0092,0.0,0.0,,1,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.009788600000320002,0.6479022999992594,0.4541,0.4459,0.0079,0.0,0.0,,1,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.053496200000154204,0.6804754000004323,0.4476,0.4395,0.0079,0.0,0.0,,1,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.05673749999914435,0.6849405999982991,0.4587,0.4486,0.0095,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.05371740000009595,0.6892024999997375,0.4518,0.4427,0.0088,0.0,0.0,,1,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.01368709999951534,0.6474369000006845,0.459,0.4511,0.0075,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.05993719999969471,0.6928317000001698,0.5616,0.5518,0.0095,0.0,0.0,,1,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.05403210000076797,0.6886767000014515,0.479,0.4672,0.0116,0.0,0.0,,1,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05924049999885028,0.6922638999985793,0.5682,0.5514,0.0165,0.0,0.0,,1,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05218079999940528,0.6845919999996113,0.4756,0.4636,0.0116,0.0,0.0,,1,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.0589551000011852,0.6898716000014247,0.5374,0.5284,0.0086,0.0,0.0,,2,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05572080000092683,0.6825695000006817,0.4474,0.4382,0.0089,0.0,0.0,,2,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.04998369999884744,0.6822664999999688,0.4597,0.45,0.0094,0.0,0.0,,2,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.009165299999949639,0.6406222000005073,0.5238,0.5159,0.0077,0.0,0.0,,2,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.010383799999544863,0.6415186999984144,0.5338,0.5249,0.0086,0.0,0.0,,2,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.011241199999858509,0.6368270000002667,0.4709,0.4626,0.0079,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.007452600000760867,0.6445000000003347,0.4643,0.4557,0.0083,0.0,0.0,,2,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.011326100000587758,0.6508464000016829,0.4776,0.4684,0.0088,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.056677399999898626,0.6941643000009208,0.4866,0.4756,0.0106,0.0,0.0,,2,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.05526999999892723,0.6907481999987795,0.4735,0.4611,0.012,0.0,0.0,,2,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.06086270000014338,0.6979186999997182,0.5111,0.4986,0.012,0.0,0.0,,2,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.0173715999990236,0.6493381999989651,0.484,0.4704,0.013,0.0,0.0,,2,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.060379699998520664,0.6963753999989422,0.455,0.4464,0.0081,0.0,0.0,,3,full
