scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.055189300001075026,0.6863137000018469,0.4613,0.4522,0.0087,0.0,0.0,,4,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05393069999990985,0.6878611000011006,0.4547,0.4444,0.01,0.0,0.0,,4,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.0591288000014174,0.6852836000016396,0.4597,0.4511,0.0083,0.0,0.0,,4,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.051528899999539135,0.6838485999996919,0.4647,0.4558,0.0086,0.0,0.0,,4,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.05118690000017523,0.6897608999988734,0.4776,0.4669,0.0105,0.0,0.0,,4,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.06514790000073845,0.7012324000006629,0.5788,0.571,0.0074,0.0,0.0,,4,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.009434900000997004,0.6442151999999624,0.437,0.4293,0.0075,0.0,0.0,,4,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.05236990000048536,0.6960245000009309,0.49,0.4794,0.0101,0.0,0.0,,4,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.054076800000984804,0.6917620000003808,0.5247,0.5118,0.0126,0.0,0.0,,4,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.055953799999770126,0.7003779999995459,0.481,0.4698,0.0108,0.0,0.0,,4,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05771479999930307,0.6994959000003291,0.5028,0.4904,0.0116,0.0,0.0,,4,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.05557279999993625,0.6921332000001712,0.4508,0.4431,0.0076,0.0,0.0,,5,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.013121600000886247,0.6533258000017668,0.457,0.4479,0.0087,0.0,0.0,,5,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.0544212000004336,0.6876883000004455,0.4654,0.4567,0.0085,0.0,0.0,,5,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.05642019999868353,0.6848647999995592,0.4529,0.4454,0.0072,0.0,0.0,,5,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.052375799999936135,0.6802848999996058,0.4576,0.4488,0.0086,0.0,0.0,,5,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.0581687999983842,0.6986296999984916,0.4657,0.4573,0.0081,0.0,0.0,,5,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.060887300000104005,0.7059551999991527,0.4675,0.4596,0.0076,0.0,0.0,,5,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.012463500001103966,0.6515397000002849,0.4441,0.4365,0.0072,0.0,0.0,,5,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.051852800001142896,0.6817916000018158,0.4431,0.4324,0.0103,0.0,0.0,,5,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.0583308000004763,0.6999156000001676,0.4732,0.4623,0.0106,0.0,0.0,,5,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.054023099999540136,0.6837986999998975,0.4936,0.4813,0.012,0.0,0.0,,5,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.013597700000900659,0.6512274000015168,0.5179,0.5049,0.0127,0.0,0.0,,5,full
