scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.047911999999996624,1.0082167000000481,0.7133,0.4752,0.228,0.0,0.0,,1,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05352939999829687,0.6825087999986863,0.4911,0.4815,0.0091,0.0,0.0,,1,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.051233500000307686,0.6808245000011084,0.5319,0.5213,0.0103,0.0,0.0,,1,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.013971000000310596,0.6400296000010712,0.4903,0.4808,0.009,0.0,0.0,,1,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.013442399998893961,0.63620119999905,0.4593,0.4484,0.0105,0.0,0.0,,1,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.012352499999906286,0.6397788999984186,0.4753,0.4625,0.0125,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.05826109999907203,0.6912861999990128,0.4792,0.4663,0.0125,0.0,0.0001,,1,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.018708200001128716,0.6508577000004152,0.5109,0.5001,0.0101,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05557869999938703,0.6975018999983149,0.4939,0.481,0.0123,0.0,0.0,,1,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.053667400001359056,0.6804699000003893,0.5259,0.5072,0.0184,0.0,0.0,,1,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05087739999908081,0.683364900000015,0.5087,0.4883,0.0202,0.0,0.0,,1,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.013426100000287988,0.6375375000006898,0.5454,0.5225,0.0225,0.0,0.0,,1,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.05430080000041926,0.6902601000001596,0.5378,0.5299,0.0076,0.0,0.0,,2,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.016104599999380298,0.6548381999982666,0.5151,0.5062,0.0078,0.0,0.0,,2,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.054543400001421105,0.6989157000007253,0.4887,0.4782,0.0101,0.0,0.0,,2,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.05213050000020303,0.6863273000017216,0.5006,0.491,0.0092,0.0,0.0,,2,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.05845640000006824,0.7014899000005244,0.5109,0.4991,0.0113,0.0,0.0,,2,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.05853010000100767,0.69974380000167,0.4782,0.4671,0.0107,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.05844190000061644,0.6850489000007656,0.4552,0.4439,0.0111,0.0,0.0,,2,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.014425600000322447,0.6484665000007226,0.4868,0.4745,0.0119,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05779940000138595,0.6855379000007815,0.4562,0.4428,0.013,0.0,0.0,,2,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.013208700000177487,0.6510637999999744,0.4733,0.4551,0.0178,0.0,0.0,,2,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05299670000022161,0.689637399998901,0.5028,0.4834,0.0191,0.0,0.0,,2,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.013539100000343751,0.6477388000002975,0.5218,0.4994,0.022,0.0,0.0,,2,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.053668000000470784,0.9941379000010784,0.5905,0.5829,0.0072,0.0,0.0,,3,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.013164100000722101,0.6627121000019542,0.472,0.4626,0.0088,0.0,0.0,,3,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05975959999886982,0.701379399999496,0.4903,0.4793,0.0103,0.0,0.0,,3,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.012924599999678321,0.6477388000002975,0.5729,0.563,0.0096,0.0,0.0,,3,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.04911700000047858,0.6876053000014508,0.4979,0.4872,0.0104,0.0,0.0,,3,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.056438399999024114,0.6979358999997203,0.4534,0.4429,0.0101,0.0,0.0,,3,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.056198300000687595,0.6825606000020343,0.4671,0.4567,0.01,0.0,0.0,,3,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.014031400000021677,0.6549651999994239,0.4559,0.4446,0.0108,0.0,0.0,,3,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05575019999923825,0.6874015999983385,0.5031,0.4885,0.0143,0.0,0.0,,3,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.05580030000055558,0.6809559000012086,0.4878,0.471,0.0163,0.0,0.0,,3,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05431949999911012,0.6900012000005518,0.4835,0.4677,0.0155,0.0,0.0,,3,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.059174399999392335,0.7019106999996438,0.482,0.465,0.0168,0.0,0.0,,3,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.05890259999978298,0.68981789999998,0.4802,0.4722,0.0077,0.0,0.0,,4,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05475990000013553,0.693481399999655,0.471,0.4616,0.009,0.0,0.0,,4,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05570059999990917,0.9954254999993282,0.6312,0.6227,0.0082,0.0,0.0,,4,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.057538600000043516,0.6997410999993008,0.4684,0.4594,0.0087,0.0,0.0,,4,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.05834779999895545,0.6978438999976788,0.4824,0.4721,0.01,0.0,0.0,,4,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.053711399999883724,0.684695300000385,0.4734,0.4634,0.0098,0.0,0.0,,4,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.056999100001121406,0.6925953000009031,0.4757,0.4622,0.0131,0.0,0.0,,4,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.013087600000289967,0.6508950999996159,0.5119,0.4998,0.0117,0.0,0.0,,4,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05251490000046033,1.0043045000002166,0.5862,0.5723,0.0136,0.0,0.0,,4,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.054175999999642954,0.6960433000003832,0.5043,0.4888,0.0152,0.0,0.0,,4,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.012560799999846495,0.6543548999998166,0.523,0.5053,0.0173,0.0,0.0,,4,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05528799999956391,0.7031972000004316,0.5067,0.4894,0.0169,0.0,0.0,,4,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.053216500000417,0.7018965000006574,0.5096,0.5017,0.0075,0.0,0.0,,5,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05533780000041588,0.6947237000003952,0.4965,0.487,0.0091,0.0,0.0,,5,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.054744200000641285,0.686087399999451,0.4791,0.4693,0.0095,0.0,0.0,,5,full
burst,attack.jpg,user_burst,clean,flagged,0.6283,False,False,1,0.055644600000960054,0.699668200000815,0.5125,0.5023,0.0098,0.0,0.0,,5,full
burst,attack.jpg,user_burst,suspicious,flagged,0.6283,False,True,2,0.06197720000091067,0.6945582000007562,0.5335,0.523,0.0101,0.0,0.0,,5,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.060679500000333064,0.700352899999416,0.4589,0.4494,0.0091,0.0,0.0,,5,full
near_duplicate,attack.jpg,user_X,clean,flagged,0.6283,False,False,1,0.013242499999250867,0.6506529999987833,0.4886,0.4778,0.0105,0.0,0.0,,5,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.015952699999616016,0.6522141999994346,0.4852,0.4737,0.011,0.0,0.0,,5,full
near_duplicate,attack.jpg,user_Z,suspicious,flagged,0.6283,False,True,3,0.05976639999971667,0.696324900000036,0.4693,0.4557,0.0133,0.0,0.0,,5,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.055361099999572616,0.697937599998113,0.4668,0.4519,0.0145,0.0,0.0,,5,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.05527069999880041,0.6859246999993047,0.4913,0.4731,0.0176,0.0,0.0,,5,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05965269999978773,0.6956913000012719,0.5301,0.5109,0.0187,0.0,0.0,,5,full
