scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.03136880000056408,0.6704375999997865,0.496,0.4855,0.0095,0.0,0.0001,,1,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.056449800000336836,0.6830721000005724,0.4719,0.4619,0.0096,0.0,0.0,,1,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.054921099999774015,0.6811803000000509,0.4442,0.4361,0.0078,0.0,0.0,,1,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.016092699999717297,0.6417077999994945,0.4444,0.4354,0.0087,0.0,0.0,,1,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.051654799999596435,0.683634400000301,0.4518,0.4434,0.0081,0.0,0.0,,1,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.010121500001332606,0.6335169000012684,0.4707,0.4629,0.0075,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.05404190000081144,0.6849412000010489,0.4765,0.467,0.009,0.0,0.0,,1,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.010102000000188127,0.6405415999997786,0.4502,0.4414,0.0082,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.052796799998759525,0.6806244999988849,0.4495,0.4415,0.0076,0.0,0.0,,1,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.011277499999778229,0.6474349000000075,0.4595,0.447,0.0121,0.0,0.0,,1,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.011900600000444683,0.6383321000012074,0.4711,0.46,0.0108,0.0,0.0,,1,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.012129400000048918,0.6463843000001361,0.496,0.4835,0.0122,0.0,0.0,,1,full
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.05249039999944216,0.6798726999986684,0.4539,0.4448,0.0088,0.0,0.0,,2,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.05049210000106541,0.6797973000011552,0.4549,0.4462,0.0084,0.0,0.0,,2,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05688659999941592,0.681351999999606,0.5053,0.4952,0.0097,0.0,0.0,,2,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.01709159999882104,0.6566139999977167,0.4631,0.4549,0.008,0.0,0.0,,2,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.05204990000129328,0.6822781999999279,0.45,0.4416,0.0082,0.0,0.0,,2,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.055685799999992014,0.6873448000005737,0.4552,0.4461,0.0088,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.06056270000044606,0.7087234999999055,0.464,0.4556,0.008,0.0,0.0,,2,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.024155499999324093,1.916392499999347,1.8398,1.828,0.0114,0.0,0.0,,2,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.007828199999494245,0.6352566999994451,0.5158,0.5077,0.0078,0.0,0.0,,2,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.0472712999999203,0.6742651000004116,0.4112,0.4023,0.0088,0.0,0.0,,2,full
