concurrency,avg_latency,median_latency,p95_latency,throughput_jobs_sec,success_rate_pct,total_jobs,errors,avg_cpu_pct,avg_mem_delta_mb
1,0.6811,0.6811,0.6811,7.33,100.0,5,0,47.9,15.7
1,0.6793,0.6793,0.6809,3.68,100.0,5,0,52.7,3.3
1,0.6828,0.6811,0.6888,2.44,100.0,5,0,48.7,3.3
1,0.6858,0.6854,0.6941,1.82,100.0,5,0,45.1,-0.1
1,0.6866,0.6896,0.6939,1.45,100.0,5,0,50.2,1.3
5,1.6894,1.6976,2.5076,9.49,100.0,25,0,27.2,-14.1
5,1.6657,1.682,2.618,4.77,100.0,25,0,33.1,-3.3
5,1.6823,1.6833,2.6212,3.18,100.0,25,0,34.8,8.6
5,1.6856,1.6748,2.6173,2.4,100.0,25,0,46.8,18.1
5,1.6793,1.6696,2.6204,1.91,100.0,25,0,44.1,10.4
10,2.8381,2.8438,4.7869,10.14,100.0,50,0,35.8,-11.0
10,2.8827,2.8568,4.9379,4.96,100.0,50,0,57.3,4.5
10,2.9074,2.8681,5.0458,3.28,100.0,50,0,50.6,0.5
10,2.8936,2.8742,4.9379,2.48,100.0,50,0,51.0,-3.7
10,2.8844,2.868,4.9209,1.99,100.0,50,0,47.6,-0.6
25,6.5584,6.4972,11.8158,10.2,100.0,125,0,38.5,1.4
25,6.5308,6.5068,11.8052,5.16,100.0,125,0,36.5,-2.8
25,6.6222,6.5165,11.9426,3.4,100.0,125,0,36.7,-11.0
25,6.64,6.5445,11.9401,2.53,100.0,125,0,35.6,-4.6
25,6.6753,6.5725,11.9476,2.0,100.0,125,0,40.2,-10.9
50,13.4871,13.5812,24.4441,9.69,100.0,250,0,52.8,52.5
50,13.4466,13.5812,24.5598,4.86,100.0,250,0,66.4,6.3
50,13.4219,13.5603,24.592,3.25,100.0,250,0,70.9,0.0
50,13.4696,13.5603,24.648,2.42,100.0,250,0,60.9,-23.6
50,13.4424,13.5603,24.6531,1.94,100.0,250,0,64.7,-17.7
